"country","year","pop_growth","gdp_growth","age_0_14","age_15_64","age_65_plus","primary_enrollment","secondary_enrollment","educational_attainment","income_level","pop_total","gdp_real"
"Afghanistan",2017,2.80833730805469,2.6470032027451,45.3646045386981,52.2756584397329,2.35973702156897,106.129997253418,55.4021492004395,24.2811393737793,"Low income",35688935,20084646751.4954
"Afghanistan",2015,3.11995924146907,1.45131466066431,46.2593370280565,51.3839679093288,2.35669506261475,106.182418823242,53.2851409912109,19.5894508361816,"Low income",33831764,19134221644.7325
"Afghanistan",2014,3.63251884652008,2.72454336219565,46.7130662681856,50.9303980666568,2.35653566515757,109.115516662598,54.235481262207,13.6816530227661,"Low income",32792523,18860496494.0404
"Afghanistan",2020,3.15360920291972,-2.35110067203466,44.2241042439322,53.4051619316696,2.37073382439812,NA,NA,22.4321632385254,"Low income",39068979,20621957125.2077
"Afghanistan",2021,2.35609779179185,-20.7388393676343,43.90812524631,53.7393252349501,2.35254951873996,NA,NA,15.25,"Low income",40000412,16345202562.5485
"Afghanistan",2022,1.43570437048699,-6.24017199240269,43.5798414355935,54.0650161973572,2.35514236704931,NA,NA,21.0254802703857,"Low income",40578842,15325233810.1388
"Albania",2017,-0.0919722937442495,3.80259872019053,18.2833562063906,68.411252681582,13.3053911120274,105.414970397949,97.5743713378906,96.5127563476562,"Upper middle income",2873457,12211675169.6845
"Albania",2014,-0.207046999760594,1.77444885260394,19.3865379916553,68.4466928018412,12.1667692065035,105.770576477051,103.321380615234,96.5201034545898,"Upper middle income",2889104,11139693788.8124
"Albania",2019,-0.426007367032238,2.06256753999989,17.7442916565786,68.0076096803147,14.2480986631067,102.589538574219,99.0151519775391,97.4445037841797,"Upper middle income",2854191,12964502337.0284
"Albania",2015,-0.291205786840436,2.21872637517804,18.9935976695213,68.4632957891861,12.5431065412926,105.688652038574,102.440727233887,97.0612411499023,"Upper middle income",2880703,11386853113.0189
"Albania",2018,-0.246732042281782,4.01934561695576,18.0052663384505,68.2552118334715,13.739521828078,104.568023681641,98.8223876953125,97.0979614257812,"Upper middle income",2866376,12702504600.374
"Albania",2013,-0.183211384606402,1.00201754071108,19.794192578173,68.3856722403311,11.8201351814959,101.474952697754,102.903213500977,95.9353790283203,"Upper middle income",2895092,10945471986.7318
"Albania",2016,-0.159880412127734,3.31498068384137,18.6062746506784,68.473513186339,12.9202121629827,105.324783325195,99.1707611083984,97.2195816040039,"Upper middle income",2876101,11764325094.2129
"Albania",2021,-0.926918061639398,8.96955339178935,17.3674317294264,67.3665631972931,15.2660050732804,97.1074981689453,97.6650314331055,97.8259353637695,"Upper middle income",2811666,13659219676.8332
"Albania",2022,-1.21579032012532,4.82668831434437,17.2224721389952,67.0011896981477,15.7763381628571,96.3712310791016,97.3224716186523,97.853141784668,"Upper middle income",2777689,14318507636.8055
"Algeria",2019,1.84041291439333,0.899999999999949,30.6392172353534,63.5858047801217,5.77497798452489,107.775131225586,NA,64.0072479248047,"Lower middle income",43294546,202300870249.462
